State,Date,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
AK,585816358,459.0,0.0,1413.0,1961.0,533.0,600.0,421.0,3666.0,1315.0,13133.0,4733.0,298.0,136.0,0.0,0.0,40.0,46.0,20.0,0.0,0.0,26.0,0.0,237.0,61.0
AL,585816358,241364.0,0.0,3056.0,0.0,0.0,0.0,33686.0,144534.0,58226.0,414193.0,187101.0,17986.0,8820.0,7936.0,0.0,101.0,0.0,0.0,0.0,262.0,846.0,465.0,15358.0,2148.0
AR,585816358,81785.0,232.0,3897.0,880.0,17556.0,154.0,37000.0,28962.0,66383.0,242085.0,9916.0,4541.0,2514.0,1318.0,0.0,37.0,0.0,262.0,0.0,258.0,89.0,285.0,3612.0,297.0
AS,585816358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,585816358,29165.0,274646.0,9597.0,99817.0,128.0,0.0,24255.0,540530.0,273994.0,368275.0,535951.0,29989.0,12881.0,887.0,6075.0,343.0,5025.0,2.0,0.0,539.0,4237.0,6052.0,19535.0,4146.0
CA,585816358,130494.0,1465630.0,208512.0,5438.0,18702.0,20655.0,331790.0,1315184.0,1455028.0,1214002.0,1298135.0,117630.0,37339.0,10904.0,45358.0,16607.0,390.0,664.0,663.0,1271.0,4434.0,44997.0,67145.0,4016.0
CO,585816358,40534.0,238096.0,17778.0,3577.0,2826.0,6375.0,6024.0,119879.0,245553.0,334853.0,119753.0,35590.0,22662.0,2386.0,6702.0,1249.0,170.0,136.0,337.0,159.0,1280.0,6889.0,26571.0,1275.0
CT,585816358,137343.0,192871.0,15651.0,270.0,0.0,803.0,6206.0,367580.0,187861.0,413249.0,345742.0,96750.0,70592.0,14420.0,8384.0,1008.0,12.0,0.0,170.0,447.0,1740.0,8181.0,74891.0,1614.0
DC,585816358,108035.0,0.0,3257.0,583.0,588.0,3825.0,49421.0,17283.0,57662.0,128789.0,34679.0,11578.0,1248.0,8699.0,1355.0,179.0,0.0,0.0,0.0,79.0,18.0,1333.0,10009.0,18.0
DE,585816358,62511.0,63591.0,3190.0,0.0,0.0,719.0,11091.0,24504.0,63591.0,147027.0,24504.0,9408.0,5774.0,2396.0,582.0,24.0,0.0,0.0,9.0,143.0,499.0,582.0,8252.0,485.0
FL,585816358,429374.0,754663.0,0.0,0.0,0.0,0.0,104337.0,753209.0,791084.0,1014886.0,887826.0,65476.0,31603.0,13384.0,15671.0,0.0,0.0,0.0,0.0,2151.0,2667.0,15671.0,44607.0,5198.0
GA,585816358,476515.0,205552.0,22442.0,1190.0,10381.0,754.0,48721.0,452432.0,217265.0,781200.0,621479.0,56347.0,24908.0,27059.0,2350.0,898.0,75.0,97.0,0.0,282.0,680.0,2534.0,52061.0,1156.0
GU,585816358,0.0,0.0,1915.0,0.0,1904.0,0.0,305.0,124.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,105.0
HI,585816358,178.0,0.0,6081.0,0.0,4309.0,1661.0,431.0,3303.0,0.0,0.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,0.0,0.0,0.0
IA,585816358,56302.0,345.0,40042.0,3093.0,4442.0,0.0,40834.0,69836.0,134900.0,324950.0,89435.0,12721.0,10025.0,630.0,0.0,444.0,69.0,172.0,0.0,358.0,961.0,814.0,10307.0,1576.0
ID,585816358,1641.0,0.0,1293.0,1212.0,347.0,4042.0,12060.0,34133.0,22402.0,45546.0,42872.0,2029.0,1915.0,23.0,0.0,44.0,9.0,2.0,0.0,11.0,9.0,129.0,1878.0,22.0
IL,585816358,526066.0,914196.0,88626.0,4603.0,7013.0,0.0,113837.0,736515.0,908326.0,1342954.0,723832.0,140504.0,60503.0,41084.0,26584.0,6468.0,709.0,128.0,0.0,1069.0,2512.0,26425.0,108548.0,2848.0
